acpi 1.7-3
xf86-input-elographics 1.4.3-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xf86-input-void 1.4.2-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-nouveau 1.0.17-2
xfsprogs 6.1.1-2
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.7-1
xorg-twm 1.0.12-1
xorg-xinit 1.4.2-1
xorg-xkill 1.0.6-1
xz 5.4.1-1
yakuake 22.12.2-1
yay 11.3.2-1
zip 3.0-10
zoom 5.13.7-1
